Range,Frequency
1,61
2,48
3,60
4,60
5,61
6,71
7,76
8,63
9,68
10,100
11,94
12,113
13,108
14,114
15,141
16,129
17,114
18,103
19,109
20,100
21,129
22,135
23,105
24,102
25,128
26,89
27,92
28,108
29,82
30,96
31,93
32,94
33,79
34,78
35,71
36,70
37,54
38,49
39,32
40,40
41,41
42,30
43,25
44,16
45,10
46,10
47,14
48,13
49,7
50,5
51,5
52,1
53,0
54,0
55,2
56,0
57,0
58,0
59,0
60,2
